eez_id,name,territory,sovereign,centroid_lat,centroid_lon
8385|"French Exclusive Economic Zone (Crozet Islands)"|"Crozet Islands"|"France"|-46.307817|51.212090
8386|"French Exclusive Economic Zone (Amsterdam and Saint Paul Islands)"|"Amsterdam and Saint Paul Islands"|"France"|-38.294309|77.541806
8387|"French Exclusive Economic Zone (Kerguélen)"|"Kerguélen"|"France"|-48.877945|68.974599
8388|"Australian Exclusive Economic Zone (Heard and McDonald Islands)"|"Heard and McDonald Islands"|"Australia"|-53.498625|73.730515
8389|"Overlapping claim Falkland / Malvinas Islands: United Kingdom / Argentina"|"Falkland / Malvinas Islands"|"United Kingdom"|-51.667026|-58.322366
8390|"Sierra Leonean Exclusive Economic Zone"|"Sierra Leone"|"Sierra Leone"|6.635408|-14.144680
8391|"Liberian Exclusive Economic Zone"|"Liberia"|"Liberia"|3.802803|-10.177629
8392|"Togolese Exclusive Economic Zone"|"Togo"|"Togo"|4.639492|1.821350
8393|"Beninese Exclusive Economic Zone"|"Benin"|"Benin"|4.841549|2.421233
8394|"Congolese (Republic of) Exclusive Economic Zone"|"Republic of the Congo"|"Republic of the Congo"|-5.336476|10.595774
8395|"Namibian Exclusive Economic Zone"|"Namibia"|"Namibia"|-23.649687|12.285474
8396|"South African Exclusive Economic Zone"|"South Africa"|"South Africa"|-33.508015|24.443313
8397|"São Toméan Exclusive Economic Zone"|"Sao Tome and Principe"|"Sao Tome and Principe"|0.779096|6.353345
8398|"Equatorial Guinean Exclusive Economic Zone"|"Equatorial Guinea"|"Equatorial Guinea"|-1.371834|5.437451
8400|"Ghanaian Exclusive Economic Zone"|"Ghana"|"Ghana"|3.502010|-0.850265
8401|"French Exclusive Economic Zone (Clipperton Island)"|"Clipperton Island"|"France"|10.308689|-109.217282
8402|"British Exclusive Economic Zone (Bermuda)"|"Bermuda"|"United Kingdom"|32.368987|-64.806926
8403|"Ecuadorian Exclusive Economic Zone (Galapagos)"|"Galapagos"|"Ecuador"|-0.041839|-90.831742
8404|"Bahamian Exclusive Economic Zone"|"Bahamas"|"Bahamas"|25.117156|-75.577854
8405|"British Exclusive Economic Zone (Turks and Caicos Islands)"|"Turks and Caicos Islands"|"United Kingdom"|22.809870|-70.853615
8406|"Cuban Exclusive Economic Zone"|"Cuba"|"Cuba"|21.600038|-81.530495
8407|"British Exclusive Economic Zone (Cayman Islands)"|"Cayman Islands"|"United Kingdom"|19.153448|-81.139139
8408|"Haitian Exclusive Economic Zone"|"Haiti"|"Haiti"|17.912185|-73.548560
8409|"Dominican (Republic) Exclusive Economic Zone"|"Dominican Republic"|"Dominican Republic"|19.138263|-69.672237
8411|"British Exclusive Economic Zone (British Virgin Islands)"|"British Virgin Islands"|"United Kingdom"|20.389876|-64.504971
8412|"British Exclusive Economic Zone (Anguilla)"|"Anguilla"|"United Kingdom"|20.018030|-62.543285
8413|"Kittitian and Nevisian Exclusive Economic Zone"|"Saint Kitts and Nevis"|"Saint Kitts and Nevis"|16.990220|-62.905778
8414|"Antiguan and Barbudan Exclusive Economic Zone"|"Antigua and Barbuda"|"Antigua and Barbuda"|18.732787|-60.570639
8415|"British Exclusive Economic Zone (Montserrat)"|"Montserrat"|"United Kingdom"|16.412923|-62.483845
8416|"Saint Lucian Exclusive Economic Zone"|"Saint Lucia"|"Saint Lucia"|13.877704|-61.103588
8417|"Dominican Exclusive Economic Zone"|"Dominica"|"Dominica"|15.497389|-60.721142
8418|"Barbadian Exclusive Economic Zone"|"Barbados"|"Barbados"|13.322879|-57.993564
8419|"Grenadian Exclusive Economic Zone"|"Grenada"|"Grenada"|12.243882|-62.058805
8420|"Trinidadian and Tobagonian Exclusive Economic Zone"|"Trinidad and Tobago"|"Trinidad and Tobago"|10.957884|-59.984775
8421|"Saint Vincentian Exclusive Economic Zone"|"Saint Vincent and the Grenadines"|"Saint Vincent and the Grenadines"|13.158052|-61.694424
8423|"Panamanian Exclusive Economic Zone"|"Panama"|"Panama"|8.288804|-80.345826
8424|"Costa Rican Exclusive Economic Zone"|"Costa Rica"|"Costa Rica"|6.736911|-86.507372
8425|"Nicaraguan Exclusive Economic Zone"|"Nicaragua"|"Nicaragua"|12.819753|-83.495619
8426|"Colombian Exclusive Economic Zone"|"Colombia"|"Colombia"|8.607544|-78.062220
8427|"Honduran Exclusive Economic Zone"|"Honduras"|"Honduras"|16.911535|-83.848448
8428|"Salvadoran Exclusive Economic Zone"|"El Salvador"|"El Salvador"|11.848587|-89.744108
8429|"Mexican Exclusive Economic Zone"|"Mexico"|"Mexico"|21.350181|-105.333456
8430|"Guatemalan Exclusive Economic Zone"|"Guatemala"|"Guatemala"|12.552431|-92.090797
8431|"Ecuadorian Exclusive Economic Zone"|"Ecuador"|"Ecuador"|-0.965563|-82.208636
8432|"Peruvian Exclusive Economic Zone"|"Peru"|"Peru"|-11.899404|-78.884775
8433|"Venezuelan Exclusive Economic Zone"|"Venezuela"|"Venezuela"|12.788868|-65.914234
8435|"Danish Exclusive Economic Zone (Faeroe)"|"Faeroe"|"Denmark"|62.594599|-6.996899
8437|"Norwegian Exclusive Economic Zone (Jan Mayen)"|"Jan Mayen"|"Norway"|71.114213|-5.251293
8438|"Danish Exclusive Economic Zone (Greenland)"|"Greenland"|"Denmark"|75.479650|-31.970964
8439|"British Exclusive Economic Zone (Pitcairn)"|"Pitcairn"|"United Kingdom"|-24.606227|-127.421310
8440|"French Exclusive Economic Zone (French Polynesia)"|"French Polynesia"|"France"|-18.736345|-144.003273
8441|"Kiribati Exclusive Economic Zone (Line Group)"|"Line Group"|"Kiribati"|-3.821545|-154.726337
8442|"United States Exclusive Economic Zone (Jarvis Islands)"|"Jarvis Island"|"United States"|-0.913995|-160.468386
8443|"United States Exclusive Economic Zone (Palmyra Atoll)"|"Palmyra Atoll"|"United States"|6.687938|-162.898807
8444|"United States Exclusive Economic Zone (American Samoa)"|"American Samoa"|"United States"|-13.854839|-169.063470
8445|"Samoan Exclusive Economic Zone"|"Samoa"|"Samoa"|-13.296866|-172.753721
8446|"New Zealand Exclusive Economic Zone (Cook Islands)"|"Cook Islands"|"New Zealand"|-15.018907|-161.303414
8447|"New Zealand Exclusive Economic Zone (Niue)"|"Niue"|"New Zealand"|-19.523148|-169.331383
8448|"Tongan Exclusive Economic Zone"|"Tonga"|"Tonga"|-20.221749|-174.765861
